City,Year,Shell,Volume,Mileage,Transmission,Rudder,Color,Gear,CustomsCleared,Type Engine,Price,Company,Model
Нур-Султан (Астана),2014,кроссовер,3.6,50000,типтроник,слева,белый металлик,полный привод,Да,бензин,14000000,Volkswagen,Touareg
Шымкент,2018,кроссовер,1.4,21459,механика,слева,белый,передний привод,Да,бензин,7700000,Kia,Stonic
Темиртау,2014,седан,4.7,30000,автомат,слева,черный,задний привод,Да,бензин,25000000,Mercedes-Benz,S 500
Нур-Султан (Астана),2013,хэтчбек,1.6,150300,автомат,слева,белый,передний привод,Да,бензин,4500000,Hyundai,Accent
Усть-Каменогорск,2013,седан,2.5,98000,автомат,слева,черный металлик,передний привод,Нет,бензин,6500000,Toyota,Camry
Шымкент,2011,седан,2.0,194500,автомат,слева,черный,передний привод,Да,бензин,3500000,Chevrolet,Epica
Нур-Султан (Астана),2003,седан,2.2,197800,типтроник,слева,,задний привод,Да,бензин,4200000,BMW,520
Алматы,2018,кроссовер,2.0,25000,вариатор,слева,вишня металлик,полный привод,Да,бензин,17000000,Lexus,NX 200
Усть-Каменогорск,2016,кроссовер,2.0,62000,вариатор,слева,черный,полный привод,Да,бензин,11300000,Toyota,RAV 4
Алматы,2018,пикап,3.0,46000,типтроник,слева,синий,полный привод,Да,дизель,23500000,Volkswagen,Amarok
Нур-Султан (Астана),2015,кроссовер,2.0,50000,автомат,слева,коричневый,полный привод,Да,бензин,11400000,Mercedes-Benz,GLK 250
Актобе,2007,кроссовер,2.4,200000,автомат,слева,серебристый металлик,полный привод,Да,газ-бензин,5800000,Honda,CR-V
Алматы,2006,минивэн,3.0,165800,автомат,справа,белый,передний привод,Нет,газ-бензин,4500000,Honda,Elysion
Актау,2018,седан,1.6,18500,автомат,слева,белый металлик,передний привод,Да,бензин,6800000,Kia,Rio
Караганда,1997,седан,2.8,327482,автомат,слева,,полный привод,Да,бензин,2800000,Mercedes-Benz,E 280
Нур-Султан (Астана),2014,седан,4.7,53000,автомат,слева,черный,полный привод,Да,бензин,25000000,Mercedes-Benz,S 500
Нур-Султан (Астана),2006,седан,1.5,310000,механика,слева,серый металлик,передний привод,Нет,бензин,500000,ВАЗ (Lada),2115 (седан)
Нур-Султан (Астана),2013,седан,1.6,70000,механика,слева,белый,передний привод,Да,бензин,4250000,Hyundai,Accent
Актау,2019,внедорожник,4.6,19000,типтроник,слева,серый металлик,,Да,бензин,36000000,Toyota,Land Cruiser
Алматы,2017,купе,2.0,15000,робот,слева,,полный привод,Да,бензин,21000000,Mercedes-Benz,CLA 45 AMG
Уральск,2000,внедорожник,4.7,300000,автомат,слева,золотистый металлик,полный привод,Нет,газ-бензин,5200000,Lexus,LX 470
Нур-Султан (Астана),2002,минивэн,2.0,362698,механика,слева,синий,передний привод,Да,бензин,2000000,Mazda,Premacy
Алматы,1997,седан,2.2,1111111,автомат,слева,коричневый металлик,передний привод,Да,бензин,2900000,Toyota,Camry
Актобе,1992,седан,2.0,300000,механика,слева,синий,передний привод,Нет,бензин,400000,Audi,80
Шымкент,2005,внедорожник,3.0,343906,автомат,слева,зеленый металлик,полный привод,Да,дизель,5000000,Nissan,Patrol
Кызылорда,2011,кроссовер,3.5,140000,автомат,слева,серебристый,полный привод,Да,бензин,11800000,Toyota,Highlander
Алматы,2007,кроссовер,3.0,185000,робот,слева,черный металлик,полный привод,Да,бензин,7300000,BMW,X5
Алматы,2018,седан,3.0,23469,автомат,слева,черный металлик,полный привод,Да,бензин,47100000,Mercedes-Benz,S 450
Нур-Султан (Астана),2010,хэтчбек,1.3,145000,автомат,слева,красный,передний привод,Да,бензин,3690000,Nissan,Micra
Жанаозен,2006,внедорожник,4.0,60000,автомат,слева,белый,задний привод,Да,газ-бензин,5700000,Nissan,Pathfinder
Нур-Султан (Астана),2007,седан,1.6,135000,автомат,слева,красный,передний привод,Да,бензин,4200000,Toyota,Corolla
Караганда,1997,внедорожник,2.8,217000,автомат,слева,зеленый металлик,полный привод,Да,дизель,2800000,Mitsubishi,Pajero
Рудный,2008,седан,1.5,150000,механика,слева,синий металлик,передний привод,Нет,бензин,780000,ВАЗ (Lada),2115 (седан)
Нур-Султан (Астана),2009,седан,1.6,84000,механика,слева,черный металлик,передний привод,Нет,бензин,1000000,Lifan,Breez
Алматы,2012,кроссовер,3.5,82000,автомат,слева,белый металлик,полный привод,Да,бензин,13500000,Toyota,Highlander
